# Via He Hai

### VORSPEISEN UND KLEINE GERICHTE

Nem gỏi cuốn mit Rindfleisch | 4,20 EUR | -
Havana Club añejo 3 años 4 cl | 5,20 EUR | -

### GETRÄNKE - COCKTAILS

Nắng thủy tinh vàng | 5,90 EUR | -
Hạ trắng | 6,50 EUR | 3, 4
Caipirinha | 6,50 EUR | -
Jim Beam Cola | 6,50 EUR | 1, 3, 5
Campari Orange | 6,50 EUR | 1
Aperol Spritz | 5,90 EUR | -

### GETRÄNKE - SÄFTE

Orange 0,2 l | 2,80 EUR | -
Orange 0,4 l | 4,80 EUR | -
Apfel 0,2 l | 2,80 EUR | -
Apfel 0,4 l | 4,80 EUR | -
Mango 0,2 l | 2,80 EUR | -
Mango 0,4 l | 4,80 EUR | -
Litschi 0,2 l | 2,80 EUR | -
Litschi 0,4 l | 4,80 EUR | -
Guave 0,2 l | 2,80 EUR | -
Guave 0,4 l | 4,80 EUR | -

### GETRÄNKE - SCHORLE

Apfel 0,2 l | 2,80 EUR | -
Apfel 0,4 l | 4,80 EUR | -
Orange 0,2 l | 2,80 EUR | -
Orange 0,4 l | 4,80 EUR | -
Mango 0,2 l | 2,80 EUR | -
Mango 0,4 l | 4,80 EUR | -
Litschi 0,2 l | 2,80 EUR | -
Litschi 0,4 l | 4,80 EUR | -
Guave 0,2
